source_name,file_name,path,exists,sha256,size_bytes,evidence_type,use_boundary
Public demonstration artifact,data/processed/monthly_meter_clean.csv,data/processed/monthly_meter_clean.csv,True,a6b393fbdd34c194fd9d3b1f6fa9b94025e11c4fdb4ee4fee086e6e8d926a8bd,9023,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,data/processed/monthly_totals.csv,data/processed/monthly_totals.csv,True,a5a4b0fa7812dc017b8dbac918e92555576383b0327e8197da7776c3a3473bf3,654,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,data/processed/meter_summary.csv,data/processed/meter_summary.csv,True,30aa40101a47992e910cd010848dea73c01ce261a97e82fb86975e7e1bd2f4b1,363,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,data/processed/db_hourly_estimated.csv,data/processed/db_hourly_estimated.csv,True,8e0bd9fd5072a1823412fdc63c024712ff856599ab41c64727f637946768e722,2725887,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,data/processed/hourly_monthly_reconciliation.csv,data/processed/hourly_monthly_reconciliation.csv,True,0023812fd280b3409b9b792f2e41e6bbe4fdc8eca65d26bd86a8e3a741c0f6e3,3521,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,data/processed/db_pv_monthly_measured.csv,data/processed/db_pv_monthly_measured.csv,True,436818674d026ab54c8e1d4f68a8e010bebcbc7a767b83a72bddecfe0401d288,1277,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,data/processed/data_quality_flags.csv,data/processed/data_quality_flags.csv,True,266d1f218c6727d4f732c7d5a08938a19307f5f33e41fcec7a98bdb9b4ad6041,1329,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,data/config/project_assumptions.json,data/config/project_assumptions.json,True,e2869874fcc3b7af4bd3cac0c73bd99965b5fc1918cb00591d7541197c41844e,4061,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,data/config/digital_twin_dictionary.csv,data/config/digital_twin_dictionary.csv,True,827600e507144381a3fb49c6a2d5c4bf29a01386a1cd27aed5ae8939d76f5c5b,2413,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,data/config/data_request_tracker.csv,data/config/data_request_tracker.csv,True,bff7d48438c5f8a9538a5e46cd1a9b9e8a80e28e11923e2dd92af06ea255286a,1326,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,data/config/model_readiness_register.csv,data/config/model_readiness_register.csv,True,ceba6e93263e3f195197559b99505fe417268e04a51dd1166a33570137e5483b,2209,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,data/models/donor_profile_shape_model.joblib,data/models/donor_profile_shape_model.joblib,True,93e6d9c4c1f7aa7c5928722d3ccfc82ae40ef870071bf315ec8f65ebcc997ef8,771,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,results/target_pv_profile.csv,results/target_pv_profile.csv,True,10320ec1ddb3d30f6ab45cc0e845a6873d6afaff137e933cd79f90adbca095fe,1118877,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,results/loss_aware_hourly_detail.csv,results/loss_aware_hourly_detail.csv,True,bd69f32a91f2e3b14fdb673b9f19a47747baa5c5c13d43323cb6d99d0b443b81,3779134,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,results/loss_aware_metrics.csv,results/loss_aware_metrics.csv,True,69264ad09292aa62df327c87804ba517aee7e2072a8fc106ce306d362ec95aab,698,synthetic_or_generated_public_demo,Public demonstration only; not an original client or institutional record
Public demonstration artifact,results/scenario_summary.csv,results/scenario_summary.csv,True,e4290e139f1d8d9d6563aecb62015d00553867c6853b5cdea8e7c054a57176ef,2338,approved_aggregate,Public demonstration only; not an original client or institutional record
Public demonstration artifact,results/project_summary.json,results/project_summary.json,True,c4cff93d97193bdeb23631797277b1ae0928daa7109922c37ed9b2f0c22a912f,7387,approved_aggregate,Public demonstration only; not an original client or institutional record
