building_id,building_name,building_short_name,source_building_label,meter_name,meter_group,month,usage_kwh,tariff_cny_per_kwh,source_row,evidence_type
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-A,General loads,2024-07,19964.73630639908,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-B,General loads,2024-07,15686.578526456418,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-C,Rooftop HVAC,2024-07,11372.732138586589,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-D,Rooftop HVAC,2024-07,10085.253028557918,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-A,General loads,2024-08,11850.125017484002,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-B,General loads,2024-08,9310.81251373743,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-C,Rooftop HVAC,2024-08,5600.203908452642,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-D,Rooftop HVAC,2024-08,4966.218560325928,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-A,General loads,2024-09,9081.551576561098,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
BLD_REF,Ningbo Reference Building,NRB,Reference Building A,MTR-B,General loads,2024-09,7135.504810155148,0.538,synthetic_public_record,synthetic_reconstruction_from_approved_aggregate
