timestamp,strategy_id,grid_to_load_kwh,grid_to_battery_kwh,pv_to_load_kwh,pv_to_battery_kwh,battery_to_load_kwh,curtailment_kwh,soc_kwh,battery_loss_kwh,load_kwh,pv_generation_kwh,grid_import_kwh
2024-07-01 00:00:00,no_battery,27.129060380468324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.129060380468324,0.0,27.129060380468324
2024-07-01 01:00:00,no_battery,27.129060380468324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.129060380468324,0.0,27.129060380468324
2024-07-01 02:00:00,no_battery,27.129060380468324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.129060380468324,0.0,27.129060380468324
2024-07-01 03:00:00,no_battery,27.129060380468324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.129060380468324,0.0,27.129060380468324
2024-07-01 04:00:00,no_battery,27.129060380468324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.129060380468324,0.0,27.129060380468324
2024-07-01 05:00:00,no_battery,27.129060380468324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.129060380468324,0.0,27.129060380468324
2024-07-01 06:00:00,no_battery,27.129060380468324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.129060380468324,0.0,27.129060380468324
2024-07-01 07:00:00,no_battery,13.042636016897722,0.0,14.086424363570602,0.0,0.0,0.0,0.0,0.0,27.129060380468324,14.086424363570602,13.042636016897722
2024-07-01 08:00:00,no_battery,73.17546795892466,0.0,27.21288218568079,0.0,0.0,0.0,0.0,0.0,100.38835014460545,27.21288218568079,73.17546795892466
2024-07-01 09:00:00,no_battery,62.67519403251666,0.0,38.48482705825097,0.0,0.0,0.0,0.0,0.0,101.16002109076763,38.48482705825097,62.67519403251666
2024-07-01 10:00:00,no_battery,56.188100468458494,0.0,47.13409456598513,0.0,0.0,0.0,0.0,0.0,103.32219503444362,47.13409456598513,56.188100468458494
2024-07-01 11:00:00,no_battery,53.875375486943646,0.0,52.57125142182158,0.0,0.0,0.0,0.0,0.0,106.44662690876523,52.57125142182158,53.875375486943646
2024-07-01 12:00:00,no_battery,55.488720291019156,0.0,54.42576437136159,0.0,0.0,0.0,0.0,0.0,109.91448466238074,54.42576437136159,55.488720291019156
2024-07-01 13:00:00,no_battery,60.46766511488074,0.0,52.57125142182158,0.0,0.0,0.0,0.0,0.0,113.03891653670232,52.57125142182158,60.46766511488074
2024-07-01 14:00:00,no_battery,68.7955882775199,0.0,47.13409456598513,0.0,0.0,0.0,0.0,0.0,115.92968284350503,47.13409456598513,68.7955882775199
2024-07-01 15:00:00,no_battery,77.48793436828953,0.0,38.48482705825097,0.0,0.0,0.0,0.0,0.0,115.9727614265405,38.48482705825097,77.48793436828953
2024-07-01 16:00:00,no_battery,87.98820829469756,0.0,27.21288218568079,0.0,0.0,0.0,0.0,0.0,115.20109048037835,27.21288218568079,87.98820829469756
2024-07-01 17:00:00,no_battery,98.9524921731317,0.0,14.086424363570616,0.0,0.0,0.0,0.0,0.0,113.03891653670232,14.086424363570616,98.9524921731317
2024-07-01 18:00:00,no_battery,109.91448466238074,0.0,6.665233812853602e-15,0.0,0.0,0.0,0.0,0.0,109.91448466238074,6.665233812853602e-15,109.91448466238074
2024-07-01 19:00:00,no_battery,106.44662690876523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.44662690876523,0.0,106.44662690876523
2024-07-01 20:00:00,no_battery,103.32219503444362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.32219503444362,0.0,103.32219503444362
2024-07-01 21:00:00,no_battery,101.16002109076763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.16002109076763,0.0,101.16002109076763
2024-07-01 22:00:00,no_battery,27.129060380468324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.129060380468324,0.0,27.129060380468324
2024-07-01 23:00:00,no_battery,27.129060380468324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.129060380468324,0.0,27.129060380468324
2024-07-02 00:00:00,no_battery,27.129060380468324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.129060380468324,0.0,27.129060380468324
2024-07-02 01:00:00,no_battery,27.129060380468324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.129060380468324,0.0,27.129060380468324
2024-07-02 02:00:00,no_battery,27.129060380468324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.129060380468324,0.0,27.129060380468324
