timestamp,specific_yield_kwh_per_kwp,pv_generation_kwh,pv_evidence,month,pv_capacity_kwp,monthly_anchor_kwh
2024-07-01 00:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 01:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 02:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 03:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 04:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 05:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 06:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 07:00:00,0.1327155112452478,14.086424363570602,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 08:00:00,0.2563866797218842,27.21288218568079,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 09:00:00,0.36258551967449565,38.48482705825097,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 10:00:00,0.4440747556621927,47.13409456598513,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 11:00:00,0.49530103091974353,52.57125142182158,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 12:00:00,0.5127733594437685,54.42576437136159,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 13:00:00,0.49530103091974353,52.57125142182158,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 14:00:00,0.4440747556621927,47.13409456598513,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 15:00:00,0.36258551967449565,38.48482705825097,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 16:00:00,0.2563866797218842,27.21288218568079,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 17:00:00,0.13271551124524794,14.086424363570616,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 18:00:00,6.279662533308463e-17,6.665233812853602e-15,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 19:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 20:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 21:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 22:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-01 23:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-02 00:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
2024-07-02 01:00:00,0.0,0.0,synthetic_intraday_profile_constrained_to_approved_aggregate,2024-07,106.14,13752.0
